#T-T0 Mag Mag_error  Instrument Filter Note
#(days) (mag) (mag)  () () ()
20.0100 17.687 0.054  GROND J  AB  mag 
21.0200 17.767 0.053  GROND J  AB  mag 
23.0096 17.779 0.055  GROND J  AB  mag 
25.0149 17.873 0.060  GROND J  AB  mag 
27.0138 17.859 0.058  GROND J  AB  mag 
0.0145 18.182 0.171  GROND H  AB  mag 
1.0404 17.801 0.068  GROND H  AB  mag 
2.0066 18.269 0.079  GROND H  AB  mag 
3.0189 18.412 0.079  GROND H  AB  mag 
4.0154 18.442 0.086  GROND H  AB  mag 
5.0180 18.590 0.083  GROND H  AB  mag 
6.0244 18.503 0.080  GROND H  AB  mag 
7.0078 18.491 0.096  GROND H  AB  mag 
8.0095 18.541 0.102  GROND H  AB  mag 
8.9806 18.313 0.091  GROND H  AB  mag 
10.9902 18.408 0.095  GROND H  AB  mag 
12.0265 18.254 0.074  GROND H  AB  mag 
14.0005  — —   GROND H  AB  mag 
15.0141 18.189 0.070  GROND H  AB  mag 
16.0146 18.187 0.080  GROND H  AB  mag 
16.9808 18.223 0.070  GROND H  AB  mag 
17.9892 18.232 0.100  GROND H  AB  mag 
19.0471 18.096 0.069  GROND H  AB  mag 
20.0100 18.063 0.070  GROND H  AB  mag 
21.0200 18.097 0.070  GROND H  AB  mag 
23.0096 18.155 0.070  GROND H  AB  mag 
25.0149 18.246 0.080  GROND H  AB  mag 
27.0138  — —   GROND K  AB  mag 
0.0145    GROND K  AB  mag 
1.0404 17.690 0.100  GROND K  AB  mag 
2.0066 18.120 0.100  GROND K  AB  mag 
3.0189 18.480 0.140  GROND K  AB  mag 
4.0154 18.460 0.370  GROND K  AB  mag 
5.0180  — —     GROND K  AB  mag 
6.0244  — —     GROND K  AB  mag 
7.0078  — —     GROND K  AB  mag 
8.0095  — —     GROND K  AB  mag 
8.9806  — —     GROND K  AB  mag 
10.9902  — —     GROND K  AB  mag 
12.0265  — —     GROND K  AB  mag 
14.0005  — —     GROND K  AB  mag 
15.0141  — —     GROND K  AB  mag 
16.0146  — —     GROND K  AB  mag 
16.9808  — —     GROND K  AB  mag 
17.9892  — —     GROND K  AB  mag 
19.0471  — —     GROND K  AB  mag 
20.0100  — —     GROND K  AB  mag 
21.0200  — —     GROND K  AB  mag 
23.0096 19.220 0.250  GROND K  AB  mag 
25.0149  — —     GROND K  AB  mag 
27.0138 18.860 0.200  GROND K  AB  mag 
9.93 17.79 0.03  NOT  V     AB  mag 
10.93 17.89 0.08  NOT  V     AB  mag 
12.90 17.69 0.07  NOT  V     AB  mag 
13.95 17.81 0.06  NOT  V     AB  mag 
17.84 17.96 0.06  NOT  V     AB  mag 
19.89 17.97 0.02  NOT  V     AB  mag 
20.86 18.13 0.03  NOT  V     AB  mag 
24.85 18.60 0.04  NOT  V     AB  mag 
29.93 18.94 0.13  NOT  V     AB  mag 
9.93 17.88 0.05  NOT Rc  AB  mag 
10.93 17.63 0.07  NOT Rc  AB  mag 
12.90 17.75 0.06  NOT Rc  AB  mag 
13.95 17.63 0.04  NOT Rc  AB  mag 
17.84 17.58 0.04  NOT Rc  AB  mag 
19.89 17.54 0.02  NOT Rc  AB  mag 
20.86 17.59 0.02  NOT Rc  AB  mag 
24.85 17.91 0.03  NOT Rc  AB  mag 
29.93 18.27 0.08  NOT Rc  AB  mag 
3.214 20.008 0.231  PST2  B     AB  mag 
4.177 19.783 0.136  PST2  B     AB  mag 
7.210 19.324 0.090  PST2  B     AB  mag 
8.196 19.160 0.082  PST2  B     AB  mag 
11.188 18.825 0.060  PST2  B     AB  mag 
15.198 19.051 0.064  PST2  B     AB  mag 
16.188 19.232 0.082  PST2  B     AB  mag 
17.220 19.412 0.112  PST2  B     AB  mag 
18.187 19.805 0.200  PST2  B     AB  mag 
19.202 19.592 0.121  PST2  B     AB  mag 
20.198 19.791 0.142  PST2  B     AB  mag 
21.219 19.791 0.150  PST2  B     AB  mag 
23.206 19.872 0.135  PST2  B     AB  mag 
25.204 19.633 0.078  PST2  B     AB  mag 
26.187 19.839 0.120  PST2  B     AB  mag 
31.193 20.439 0.281  PST2  B     AB  mag 
3.214 19.132 0.231  PST2  V     AB  mag 
4.177 19.237 0.136  PST2  V     AB  mag 
7.210 18.275 0.090  PST2  V     AB  mag 
8.196 18.227 0.082  PST2  V     AB  mag 
11.188 17.833 0.060  PST2  V     AB  mag 
15.198 17.961 0.064  PST2  V     AB  mag 
16.188 18.113 0.082  PST2  V     AB  mag 
17.220 18.224 0.112  PST2  V     AB  mag 
18.187 18.462 0.200  PST2  V     AB  mag 
19.202 18.366 0.121  PST2  V     AB  mag 
20.198 18.558 0.142  PST2  V     AB  mag 
21.219 18.537 0.150  PST2  V     AB  mag 
23.206 18.729 0.135  PST2  V     AB  mag 
25.204 18.866 0.078  PST2  V     AB  mag 
26.187 18.862 0.120  PST2  V     AB  mag 
31.193 19.238 0.281  PST2  V     AB  mag 
3.214 18.851 0.142  PST2 Rc  AB  mag 
4.177 18.807 0.123  PST2 Rc  AB  mag 
7.210 18.226 0.062  PST2 Rc  AB  mag 
8.196 18.398 0.103  PST2 Rc  AB  mag 
11.188 17.966 0.071  PST2 Rc  AB  mag 
15.198 17.692 0.042  PST2 Rc  AB  mag 
16.188 17.771 0.056  PST2 Rc  AB  mag 
17.220 17.905 0.070  PST2 Rc  AB  mag 
18.187 17.789 0.056  PST2 Rc  AB  mag 
19.202 17.832 0.052  PST2 Rc  AB  mag 
20.198 17.978 0.064  PST2 Rc  AB  mag 
21.219 17.988 0.071  PST2 Rc  AB  mag 
23.206 18.011 0.061  PST2 Rc  AB  mag 
25.204 18.188 0.074  PST2 Rc  AB  mag 
26.187 18.290 0.083  PST2 Rc  AB  mag 
31.193 18.559 0.106  PST2 Rc  AB  mag 
3.214 18.446 0.129  PST2 Ic  AB  mag 
4.177 18.634 0.163  PST2 Ic  AB  mag 
7.210 18.395 0.129  PST2 Ic  AB  mag 
8.196 18.138 0.074  PST2 Ic  AB  mag 
11.188 18.066 0.09  PST2 Ic  AB  mag 
15.198 17.838 0.067  PST2 Ic  AB  mag 
16.188 17.809 0.068  PST2 Ic  AB  mag 
17.220 17.777 0.055  PST2 Ic  AB  mag 
18.187 17.879 0.094  PST2 Ic  AB  mag 
19.202 17.750 0.054  PST2 Ic  AB  mag 
20.198 17.739 0.053  PST2 Ic  AB  mag 
21.219 17.865 0.088  PST2 Ic  AB  mag 
23.206 17.904 0.077  PST2 Ic  AB  mag 
25.204 17.904 0.060  PST2 Ic  AB  mag 
26.187 18.051 0.081  PST2 Ic  AB  mag 
31.193 18.213 0.100  PST2 Ic  AB  mag 
0.888 18.91 0.18  GOTO  APASS  B   Vega  mag 
1.886 19.52 0.21  GOTO  APASS  B   Vega  mag 
5.881 19.35 0.15  GOTO  APASS  B   Vega  mag 
9.864 18.63 0.12  GOTO  APASS  B   Vega  mag 
10.960 18.61 0.09  GOTO  APASS  B   Vega  mag 
12.950 18.43 0.14  GOTO  APASS  B   Vega  mag 
13.942 18.45 0.09  GOTO  APASS  B   Vega  mag 
14.889 18.89 0.08  GOTO  APASS  B   Vega  mag 
0.888 18.18 0.12  GOTO  APASS  V   Vega  mag 
1.886 18.34 0.18  GOTO  APASS  V   Vega  mag 
5.881 18.14 0.23  GOTO  APASS  V   Vega  mag 
9.864 17.73 0.10  GOTO  APASS  V   Vega  mag 
10.960 17.41 0.09  GOTO  APASS  V   Vega  mag 
12.950 17.24 0.16  GOTO  APASS  V   Vega  mag 
13.942 17.42 0.09  GOTO  APASS  V   Vega  mag 
14.889 17.66 0.06  GOTO  APASS  V   Vega  mag 
0.888 18.09 0.14  GOTO  APASS  r   AB  mag 
1.886 19.14 0.15  GOTO  APASS  r   AB  mag 
5.881 17.66 0.33  GOTO  APASS  r   AB  mag 
9.864 17.70 0.13  GOTO  APASS  r   AB  mag 
10.960 17.47 0.09  GOTO  APASS  r   AB  mag 
12.950 17.42 0.08  GOTO  APASS  r   AB  mag 
13.942 17.43 0.09  GOTO  APASS  r   AB  mag 
14.889 17.66 0.06  GOTO  APASS  r   AB  mag 
0.899 19.02 0.25  OSN  B     AB  mag 
1.892 19.44 0.29  OSN  B     AB  mag 
2.902  - -  OSN  B     AB  mag 
0.899 18.45 0.15  OSN  V     AB  mag 
1.892 18.80 0.20  OSN  V     AB  mag 
2.902  - -  OSN  V     AB  mag 
0.899 18.19 0.11  OSN  Rc     AB  mag 
1.892 18.37 0.13  OSN Rc  AB  mag 
2.902 18.42 0.22  OSN Rc  AB  mag 
0.899 17.69 0.11  OSN Ic  AB  mag 
1.892 17.98 0.13  OSN Ic  AB  mag 
2.902 17.99 0.20  OSN Ic  AB  mag 
0.488 17.96 0.07  iTelescope  Rc     AB  mag 
1.455 18.65 0.36  iTelescope  Rc     AB  mag 
8.35 17.79 0.07  iTelescope  Rc     AB  mag 
0.78 18.26 0.81  OASDG  Rc     AB  mag 
12.76 17.49 0.36  OASDG  Rc     AB  mag 
13.76 17.58 0.51  OASDG  Rc     AB  mag 
15.76 17.48 0.35  OASDG  Rc     AB  mag 
